Rank,City,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Year
NA,"Paris, France",127.8,96.4,115.4,117,116.5,39.4,2009
NA,"Dublin, Ireland",126.6,87.6,111.1,154.5,131.6,59.3,2009
NA,"Brussels, Belgium",117.5,78.8,102.2,110.9,107.6,55.6,2009
NA,"Berlin, Germany",115.2,33,82.6,90.3,79.2,58.6,2009
NA,"Stockholm, Sweden",112.5,30,79.8,99,85.2,63.9,2009
NA,"Vienna, Austria",109.5,62.7,90.9,89.9,80.6,55.5,2009
NA,"Milan, Italy",109.4,74.6,95.6,96.1,105.8,45.2,2009
NA,"Amsterdam, Netherlands",108.5,84,98.8,92.4,116.3,53.8,2009
NA,"Tel Aviv-Yafo, Israel",106.8,58.8,87.8,110.5,67.2,42.5,2009
NA,"London, United Kingdom",106.6,93.6,101.4,96.7,92.2,58.2,2009
NA,"Lyon, France",105.5,66.3,90,75.6,120,56.4,2009
NA,"Seoul, South Korea",102.1,34.7,75.4,150,102.7,38.5,2009
NA,"Montreal, Canada",101.8,65.4,87.4,87.8,62.9,57.7,2009
NA,"San Francisco, CA, United States",100.1,117.6,107.1,117.4,105.2,101.5,2009
NA,"New York, NY, United States",100,100,100,100,100,100,2009
NA,"Sydney, Australia",99.5,65,85.8,126,88,97.1,2009
NA,"Lisbon, Portugal",91,31.5,67.4,52.7,66.4,41.6,2009
NA,"Toronto, Canada",80.4,59.5,72.1,108.1,57.7,78.5,2009
NA,"Santiago, Chile",79.9,22.1,56.9,55.4,40.8,40.4,2009
NA,"Athens, Greece",77.6,36.4,61.2,65,100.5,38.3,2009
NA,"Singapore, Singapore",74.7,107.6,87.7,110.8,91.1,56.1,2009
NA,"Hong Kong, Hong Kong (China)",74.5,58.1,68,95.1,88.7,45.3,2009
NA,"Prague, Czech Republic",74.2,46.2,63.1,63.8,54.7,33,2009
NA,"Rio de Janeiro, Brazil",70.5,32.6,55.4,73.6,51.8,40.9,2009
NA,"Belgrade, Serbia",69.2,37.3,56.5,51,58.6,20.4,2009
NA,"Riga, Latvia",68.8,43.5,58.8,37.9,49.3,22.2,2009
NA,"Amman, Jordan",66.4,19.7,47.9,88.7,62,15.9,2009
